,0
0,0.48786340842562687
1,0.2941295716699513
2,0.3935918914912191
3,0.5659250511080424
4,0.7173198145846316
5,0.8192228870498027
6,0.8825089256571714
7,0.9207480698260705
8,0.9467755844438227
9,0.9620174923913474
10,0.9721375701023182
11,0.9793062282401936
12,0.9854531410718466
13,0.9885883104776724
14,0.9913594342977131
15,0.9931128299849363
16,0.9941756593561468
17,0.9955813121064494
18,0.996496538425633
19,0.9969210732224655
20,0.9973190914482115
21,0.9976375314765605
22,0.9979559941173205
23,0.9984735441180104
24,0.9985929872072398
25,0.9987920660820574
26,0.9989380688960264
27,0.99901770503415
28,0.999137161887534
29,0.9991769815442587
