,0
0,2286.9314
1,2283.303
2,2289.5615
3,2290.4714
4,2290.4004
5,2287.708
6,2288.2185
7,2293.2302
8,2293.4219
9,2294.8816
10,2295.181
11,2295.7795
12,2295.9338
13,2297.6868
14,2297.2632
15,2297.4248
16,2298.0852
17,2298.9639
18,2299.6155
19,2303.589
20,2303.5
21,2308.6672
22,2309.1587
23,2311.9048
24,2312.4185
25,2316.9263
26,2317.6047
27,2325.6033
28,2327.3384
29,2334.5193
30,2336.7683
31,2345.0686
32,2346.9846
33,2360.359
34,2362.553
35,2371.252
36,2372.733
37,2374.7454
38,2375.6257
39,2377.309
40,2378.4111
41,2382.1272
42,2382.0208
43,2388.0325
44,2386.7031
45,2383.834
46,2383.7283
47,2380.4595
48,2380.681
49,2376.936
50,2378.252
51,2378.4473
52,2378.338
53,2379.645
54,2378.0488
55,2375.4492
56,2373.808
57,2371.2063
58,2370.3735
59,2364.3235
60,2365.0188
61,2362.3308
62,2362.4915
63,2362.4553
64,2362.173
65,2364.1182
66,2363.9844
67,2365.42
68,2365.8928
69,2368.4773
70,2368.4568
71,2371.2341
72,2371.2048
73,2374.8271
74,2374.5383
75,2375.6123
76,2376.2773
77,2375.88
78,2377.575
79,2382.324
80,2383.0007
81,2386.574
82,2386.8972
83,2389.7708
84,2390.057
85,2391.564
86,2392.1023
87,2395.4907
88,2396.1604
89,2398.322
90,2399.96
91,2400.508
92,2400.6357
93,2400.0366
94,2397.5098
95,2402.8193
96,2402.7886
97,2405.927
98,2406.0933
99,2402.033
100,2402.9636
101,2402.866
102,2403.5115
103,2409.2996
104,2411.8286
105,2417.8572
106,2418.262
107,2421.3652
108,2421.9402
109,2424.6755
110,2425.3306
111,2427.5444
112,2427.9683
113,2425.0496
114,2426.3193
115,2429.442
116,2429.592
117,2432.364
118,2433.3003
119,2433.8384
120,2433.181
121,2433.4883
122,2433.3662
123,2431.1313
124,2431.4065
125,2436.413
126,2435.8552
127,2433.076
128,2431.42
129,2430.7822
130,2430.3662
131,2433.2568
132,2434.4062
133,2435.0696
134,2435.9333
135,2436.4668
136,2439.0164
137,2440.3994
138,2441.974
139,2447.2747
140,2448.3833
141,2450.6023
142,2450.864
143,2452.262
144,2452.343
145,2451.2314
146,2451.2576
147,2458.7979
148,2460.541
149,2463.439
150,2466.532
151,2464.244
152,2462.7114
153,2463.8142
154,2463.351
155,2466.6697
156,2466.7131
157,2463.15
158,2457.736
159,2448.921
160,2448.9873
161,2451.904
162,2448.816
163,2442.0005
164,2441.4104
165,2440.2112
166,2441.6433
167,2445.6895
168,2448.1028
169,2447.2593
170,2448.5215
171,2452.3813
172,2452.9656
173,2459.6677
174,2461.3083
175,2463.0173
176,2464.6694
177,2465.2297
178,2467.171
179,2469.4153
180,2471.6406
181,2476.868
182,2477.3772
183,2478.3835
184,2478.2808
185,2483.54
186,2483.325
187,2486.055
188,2488.0295
189,2491.936
190,2495.8545
191,2499.8313
192,2504.2283
193,2510.1172
194,2513.2695
195,2521.156
196,2522.4265
197,2527.7808
198,2528.1995
199,2530.2466
200,2531.3784
201,2537.9497
202,2540.2856
203,2540.7705
204,2542.9326
205,2548.8713
206,2549.7285
207,2554.9958
208,2555.9463
209,2556.1912
210,2556.3662
211,2557.638
212,2558.5586
213,2560.3037
214,2561.2769
215,2559.7542
216,2561.2405
217,2567.0618
218,2567.6836
219,2571.2354
220,2571.529
221,2574.8887
222,2574.83
223,2581.6956
224,2583.766
225,2592.8865
226,2595.346
227,2601.4382
228,2605.164
229,2610.5173
230,2613.0452
231,2619.4255
232,2621.5085
233,2629.3154
234,2630.3691
235,2633.4568
236,2634.3953
237,2638.1729
238,2640.7026
239,2647.0007
240,2648.2312
241,2657.8376
242,2661.1282
243,2665.0518
244,2665.449
245,2665.0198
246,2666.3137
247,2665.201
248,2666.3577
249,2670.937
250,2671.2021
251,2676.823
252,2678.973
253,2687.1711
254,2691.881
255,2699.021
256,2703.532
257,2714.0378
258,2722.5894
259,2740.3118
260,2747.6926
261,2760.2769
262,2763.9785
263,2782.0173
264,2788.6921
265,2801.6804
266,2805.3923
267,2801.324
268,2804.3967
269,2798.772
270,2799.416
271,2815.578
272,2813.0754
273,2803.2983
274,2794.4224
275,2791.3433
276,2780.5981
277,2774.4795
278,2764.6016
279,2763.5483
280,2759.5566
281,2752.0093
282,2754.5366
283,2746.862
284,2744.5798
285,2737.5981
286,2741.2883
287,2751.469
288,2756.2886
289,2749.5312
290,2749.071
291,2743.6406
292,2743.8828
293,2742.1753
294,2744.3774
295,2764.495
296,2760.6914
297,2752.9148
298,2757.1304
299,2758.1848
300,2761.469
301,2760.8843
302,2765.8413
303,2773.8618
304,2773.1711
305,2753.1638
306,2744.2397
307,2747.2979
308,2743.3494
309,2736.3135
310,2729.3098
311,2717.6458
312,2713.0796
313,2705.3088
314,2707.9092
315,2692.283
316,2688.1814
317,2698.9844
318,2701.0784
319,2694.8647
320,2693.7637
321,2701.4492
322,2702.7183
323,2697.2776
324,2700.7668
325,2699.8245
326,2699.305
327,2693.7595
328,2692.719
329,2697.2205
330,2696.8044
331,2688.0737
332,2685.7366
333,2678.3877
334,2675.311
335,2673.5386
336,2674.677
337,2674.4841
338,2673.6526
339,2683.97
340,2688.7175
341,2690.1318
342,2694.3843
343,2697.069
344,2700.993
345,2705.839
346,2708.6414
347,2722.494
348,2724.7412
349,2731.7283
350,2734.8162
351,2735.454
352,2735.1443
353,2738.472
354,2736.1165
355,2738.0244
356,2738.2002
357,2749.7444
358,2751.6182
359,2748.3567
360,2752.1326
361,2754.1797
362,2761.2563
363,2782.635
364,2785.1348
365,2792.1646
366,2794.1287
367,2802.0784
368,2802.626
369,2804.483
370,2803.9336
371,2793.8657
372,2789.7815
373,2789.2559
374,2784.55
375,2775.8154
376,2771.313
377,2761.3438
378,2758.2798
379,2754.7292
380,2758.6501
381,2760.2202
382,2765.2693
383,2780.2712
384,2784.5493
385,2791.4802
386,2799.8865
387,2818.417
388,2818.409
389,2819.9255
390,2821.785
391,2835.6865
392,2838.8538
393,2841.389
394,2841.205
395,2835.9253
396,2836.057
397,2839.9978
398,2842.6543
399,2856.1333
400,2855.9783
401,2857.3533
402,2859.869
403,2858.1533
404,2859.7312
405,2864.4229
406,2864.9763
407,2871.0693
408,2871.1084
409,2872.908
410,2871.6497
411,2871.1582
412,2871.7112
413,2877.6812
414,2880.2424
415,2884.792
416,2887.788
417,2893.9883
418,2895.4487
419,2896.1384
420,2896.2983
421,2898.8984
422,2898.0605
423,2899.752
424,2899.2925
425,2899.2214
426,2898.8474
427,2897.6646
428,2897.586
429,2897.147
430,2899.5352
431,2904.1768
432,2905.2805
433,2907.8892
434,2907.6719
435,2909.3892
436,2909.6245
437,2911.7358
438,2912.4158
439,2913.7622
440,2913.6538
441,2914.78
442,2915.4946
443,2890.6228
444,2882.3914
445,2868.4202
446,2854.0125
447,2826.4287
448,2781.4626
449,2652.5881
