time,congestion
1991-07-30 00:20:00,33
1991-07-30 00:40:00,30
1991-07-30 01:00:00,30
1991-07-30 01:20:00,30
1991-07-30 01:40:00,30
1991-07-30 02:00:00,30
1991-07-30 02:20:00,30
1991-07-30 02:40:00,30
1991-07-30 03:00:00,43
1991-07-30 03:20:00,43
1991-07-30 03:40:00,43
1991-07-30 04:00:00,43
1991-07-30 04:20:00,43
1991-07-30 04:40:00,37
1991-07-30 05:00:00,40
1991-07-30 05:20:00,50
1991-07-30 05:40:00,50
1991-07-30 06:00:00,50
1991-07-30 06:20:00,47
1991-07-30 06:40:00,38
1991-07-30 07:00:00,70
1991-07-30 07:20:00,53
1991-07-30 07:40:00,37
1991-07-30 08:00:00,60
1991-07-30 08:20:00,50
1991-07-30 08:40:00,62
1991-07-30 09:00:00,50
1991-07-30 09:20:00,63
1991-07-30 09:40:00,55
1991-07-30 10:00:00,57
1991-07-30 10:20:00,57
1991-07-30 10:40:00,63
1991-07-30 11:00:00,50
1991-07-30 11:20:00,52
1991-07-30 11:40:00,60
1991-07-30 12:00:00,43
1991-07-30 12:20:00,43
1991-07-30 12:40:00,30
1991-07-30 13:00:00,57
1991-07-30 13:20:00,43
1991-07-30 13:40:00,57
1991-07-30 14:00:00,57
1991-07-30 14:20:00,57
1991-07-30 14:40:00,52
1991-07-30 15:00:00,57
1991-07-30 15:20:00,63
1991-07-30 15:40:00,62
1991-07-30 16:00:00,62
1991-07-30 16:20:00,53
1991-07-30 16:40:00,43
1991-07-30 17:00:00,57
1991-07-30 17:20:00,57
1991-07-30 17:40:00,43
1991-07-30 18:00:00,33
1991-07-30 18:20:00,50
1991-07-30 18:40:00,43
1991-07-30 19:00:00,43
1991-07-30 19:20:00,77
1991-07-30 19:40:00,43
1991-07-30 20:00:00,67
1991-07-30 20:20:00,47
1991-07-30 20:40:00,50
1991-07-30 21:00:00,50
1991-07-30 21:20:00,37
1991-07-30 21:40:00,40
1991-07-30 22:00:00,47
1991-07-30 22:20:00,43
1991-07-30 22:40:00,37
1991-07-30 23:00:00,37
1991-07-30 23:20:00,37
1991-07-30 23:40:00,37
1991-07-31 00:00:00,37
1991-07-31 00:20:00,37
1991-07-31 00:40:00,37
1991-07-31 01:00:00,37
1991-07-31 01:20:00,37
1991-07-31 01:40:00,50
1991-07-31 02:00:00,50
1991-07-31 02:20:00,50
1991-07-31 02:40:00,50
1991-07-31 03:00:00,50
1991-07-31 03:20:00,50
1991-07-31 03:40:00,50
1991-07-31 04:00:00,50
1991-07-31 04:20:00,50
1991-07-31 04:40:00,37
1991-07-31 05:00:00,42
1991-07-31 05:20:00,40
1991-07-31 05:40:00,42
1991-07-31 06:00:00,67
1991-07-31 06:20:00,48
1991-07-31 06:40:00,47
1991-07-31 07:00:00,53
1991-07-31 07:20:00,47
1991-07-31 07:40:00,40
1991-07-31 08:00:00,67
1991-07-31 08:20:00,52
1991-07-31 08:40:00,55
1991-07-31 09:00:00,43
1991-07-31 09:20:00,37
1991-07-31 09:40:00,62
1991-07-31 10:00:00,60
1991-07-31 10:20:00,37
1991-07-31 10:40:00,50
1991-07-31 11:00:00,47
1991-07-31 11:20:00,57
1991-07-31 11:40:00,47
1991-07-31 12:00:00,58
1991-07-31 12:20:00,75
1991-07-31 12:40:00,53
1991-07-31 13:00:00,37
1991-07-31 13:20:00,50
1991-07-31 13:40:00,50
1991-07-31 14:00:00,57
1991-07-31 14:20:00,67
1991-07-31 14:40:00,50
1991-07-31 15:00:00,67
1991-07-31 15:20:00,55
1991-07-31 15:40:00,57
1991-07-31 16:00:00,67
1991-07-31 16:20:00,33
1991-07-31 16:40:00,67
1991-07-31 17:00:00,67
1991-07-31 17:20:00,57
1991-07-31 17:40:00,63
1991-07-31 18:00:00,40
1991-07-31 18:20:00,57
1991-07-31 18:40:00,43
1991-07-31 19:00:00,43
1991-07-31 19:20:00,60
1991-07-31 19:40:00,43
1991-07-31 20:00:00,37
1991-07-31 20:20:00,80
1991-07-31 20:40:00,63
1991-07-31 21:00:00,37
1991-07-31 21:20:00,33
1991-07-31 21:40:00,58
1991-07-31 22:00:00,43
1991-07-31 22:20:00,27
1991-07-31 22:40:00,50
1991-07-31 23:00:00,50
1991-07-31 23:20:00,50
1991-07-31 23:40:00,50
1991-08-01 00:00:00,50
1991-08-01 00:20:00,50
1991-08-01 00:40:00,50
1991-08-01 01:00:00,50
1991-08-01 01:20:00,50
1991-08-01 01:40:00,50
1991-08-01 02:00:00,40
1991-08-01 02:20:00,40
1991-08-01 02:40:00,40
1991-08-01 03:00:00,40
1991-08-01 03:20:00,40
1991-08-01 03:40:00,40
1991-08-01 04:00:00,40
1991-08-01 04:20:00,40
1991-08-01 04:40:00,40
1991-08-01 05:00:00,67
1991-08-01 05:20:00,47
1991-08-01 05:40:00,40
1991-08-01 06:00:00,50
1991-08-01 06:20:00,43
1991-08-01 06:40:00,48
1991-08-01 07:00:00,47
1991-08-01 07:20:00,45
1991-08-01 07:40:00,72
1991-08-01 08:00:00,52
1991-08-01 08:20:00,53
1991-08-01 08:40:00,52
1991-08-01 09:00:00,57
1991-08-01 09:20:00,53
1991-08-01 09:40:00,48
1991-08-01 10:00:00,73
1991-08-01 10:20:00,50
1991-08-01 10:40:00,57
1991-08-01 11:00:00,50
1991-08-01 11:20:00,42
1991-08-01 11:40:00,53
1991-08-01 12:00:00,53
1991-08-01 12:20:00,67
1991-08-01 12:40:00,57
1991-08-01 13:00:00,62
1991-08-01 13:20:00,50
1991-08-01 13:40:00,45
1991-08-01 14:00:00,68
1991-08-01 14:20:00,70
1991-08-01 14:40:00,52
1991-08-01 15:00:00,45
1991-08-01 15:20:00,60
1991-08-01 15:40:00,80
1991-08-01 16:00:00,45
1991-08-01 16:20:00,57
1991-08-01 16:40:00,57
1991-08-01 17:00:00,67
1991-08-01 17:20:00,40
1991-08-01 17:40:00,63
1991-08-01 18:00:00,53
1991-08-01 18:20:00,50
1991-08-01 18:40:00,73
1991-08-01 19:00:00,87
1991-08-01 19:20:00,23
1991-08-01 19:40:00,73
1991-08-01 20:00:00,67
1991-08-01 20:20:00,100
1991-08-01 20:40:00,17
1991-08-01 21:00:00,57
1991-08-01 21:20:00,17
1991-08-01 21:40:00,43
1991-08-01 22:00:00,52
1991-08-01 22:20:00,50
1991-08-01 22:40:00,33
1991-08-01 23:00:00,33
1991-08-01 23:20:00,33
1991-08-01 23:40:00,33
1991-08-02 00:00:00,33
1991-08-02 00:20:00,33
1991-08-02 00:40:00,33
1991-08-02 01:00:00,33
1991-08-02 01:20:00,33
1991-08-02 01:40:00,80
1991-08-02 02:00:00,80
1991-08-02 02:20:00,80
1991-08-02 02:40:00,80
1991-08-02 03:00:00,80
1991-08-02 03:20:00,80
1991-08-02 03:40:00,80
